id,quality
1,6
2,5
3,5
4,6
5,5
6,5
7,6
8,6
9,5
10,5
11,5
12,6
13,6
14,6
15,5
16,6
17,5
18,6
19,5
20,6
21,6
22,6
23,6
24,6
25,6
26,6
27,6
28,6
29,6
30,5
31,5
32,5
33,6
34,5
35,6
36,6
37,6
38,6
39,6
40,5
41,6
42,6
43,5
44,6
45,5
46,6
47,6
48,6
49,6
50,5
51,6
52,5
53,5
54,5
55,5
56,5
57,5
58,6
59,6
60,6
61,6
62,6
63,6
64,6
65,6
66,5
67,5
68,6
69,5
70,5
71,6
72,6
73,6
74,5
75,6
76,6
77,6
78,6
79,6
80,6
81,6
82,5
83,6
84,6
85,5
86,6
87,5
88,6
89,6
90,5
91,6
92,6
93,6
94,5
95,6
96,6
97,6
98,6
99,6
100,6
101,6
102,6
103,6
104,6
105,6
106,6
107,6
108,6
109,5
110,6
111,6
112,6
113,6
114,6
115,6
116,6
117,6
118,5
119,5
120,6
121,6
122,6
123,5
124,5
125,6
126,5
127,5
128,6
129,6
130,6
131,6
132,6
133,6
134,6
135,6
136,6
137,6
138,5
139,5
140,6
141,6
142,5
143,6
144,5
145,6
146,6
147,6
148,5
149,6
150,5
151,6
152,6
153,6
154,5
155,6
156,6
157,6
158,6
159,6
160,6
161,5
162,6
163,6
164,5
165,6
166,6
167,6
168,6
169,6
170,6
171,6
172,6
173,6
174,6
175,6
176,5
177,6
178,5
179,6
180,6
181,6
182,6
183,5
184,5
185,6
186,6
187,5
188,6
189,5
190,6
191,6
192,6
193,5
194,5
195,6
196,6
197,5
198,6
199,6
200,5
201,6
202,5
203,6
204,6
205,6
206,6
207,5
208,6
209,6
210,6
211,6
212,6
213,6
214,6
215,5
216,6
217,6
218,6
219,6
220,5
221,6
222,5
223,6
224,6
225,5
226,6
227,6
228,6
229,6
230,5
231,6
232,6
233,6
234,6
235,5
236,6
237,5
238,6
239,5
240,6
241,6
242,6
243,6
244,6
245,5
246,6
247,5
248,6
249,5
250,6
251,6
252,5
253,6
254,5
255,5
256,6
257,6
258,6
259,5
260,6
261,6
262,5
263,5
264,6
265,6
266,6
267,5
268,6
269,6
270,6
271,5
272,6
273,6
274,6
275,6
276,6
277,6
278,6
279,6
280,6
281,5
282,6
283,6
284,6
285,5
286,6
287,6
288,6
289,6
290,6
291,5
292,6
293,6
294,5
295,6
296,6
297,6
298,6
299,5
300,6
301,6
302,6
303,5
304,6
305,6
306,6
307,6
308,6
309,6
310,6
311,6
312,6
313,6
314,6
315,6
316,5
317,6
318,5
319,6
320,6
321,6
322,6
323,6
324,6
325,6
326,6
327,6
328,5
329,5
330,6
331,6
332,6
333,5
334,5
335,5
336,5
337,5
338,6
339,6
340,5
341,6
342,6
343,5
344,6
345,5
346,6
347,5
348,6
349,5
350,5
351,6
352,6
353,6
354,5
355,6
356,6
357,6
358,5
359,6
360,6
361,6
362,6
363,6
364,6
365,6
366,6
367,5
368,6
369,5
370,6
371,6
372,5
373,6
374,5
375,5
376,6
377,5
378,5
379,6
380,5
381,5
382,6
383,6
384,6
385,5
386,6
387,6
388,6
389,6
390,6
391,6
392,5
393,6
394,6
395,6
396,6
397,6
398,6
399,6
400,5
401,6
402,6
403,5
404,6
405,5
406,6
407,6
408,6
409,6
410,5
411,6
412,5
413,6
414,6
415,5
416,6
417,6
418,6
419,5
420,6
421,6
422,6
423,6
424,6
425,6
426,6
427,5
428,6
429,6
430,6
431,5
432,6
433,5
434,5
435,6
436,6
437,5
438,5
439,5
440,6
441,5
442,6
443,6
444,6
445,6
446,6
447,6
448,6
449,5
450,6
451,6
452,6
453,6
454,6
455,6
456,5
457,6
458,6
459,6
460,5
461,5
462,5
463,6
464,6
465,5
466,6
467,6
468,5
469,6
470,6
471,6
472,5
473,6
474,6
475,6
476,6
477,6
478,6
479,6
480,5
481,6
482,5
483,6
484,6
485,6
486,6
487,6
488,5
489,5
490,6
491,6
492,6
493,6
494,6
495,6
496,6
497,6
498,6
499,6
500,6
501,6
502,5
503,6
504,6
505,5
506,6
507,6
508,6
509,6
510,6
511,5
512,5
513,6
514,6
515,6
516,6
517,6
518,6
519,6
520,5
521,6
522,5
523,5
524,5
525,6
526,6
527,6
528,6
529,6
530,6
531,6
532,6
533,6
534,5
535,5
536,6
537,6
538,6
539,5
540,6
541,6
542,6
543,6
544,6
545,6
546,6
547,5
548,6
549,6
550,6
551,6
552,6
553,6
554,6
555,5
556,6
557,6
558,6
559,6
560,5
561,5
562,5
563,5
564,6
565,6
566,6
567,6
568,6
569,5
570,6
571,6
572,6
573,6
574,6
575,5
576,5
577,5
578,6
579,6
580,6
581,6
582,6
583,6
584,6
585,5
586,6
587,6
588,6
589,6
590,6
591,6
592,6
593,6
594,5
595,6
596,5
597,6
598,6
599,6
600,5
601,6
602,6
603,6
604,6
